iter	Passed	Remaining
861	2108	337
862	2110	335
863	2112	332
864	2114	329
865	2116	327
866	2118	325
867	2120	322
868	2122	320
869	2124	317
870	2126	314
871	2128	312
872	2131	310
873	2133	307
874	2137	305
875	2139	302
876	2141	300
877	2143	297
878	2145	295
879	2147	292
880	2149	290
881	2151	287
882	2153	285
883	2154	282
884	2156	280
885	2158	277
886	2160	275
887	2162	272
888	2164	270
889	2166	267
890	2168	265
891	2170	262
892	2172	260
893	2174	257
894	2176	255
895	2178	252
896	2180	250
897	2182	247
898	2184	245
899	2186	242
900	2188	240
901	2190	237
902	2192	235
903	2194	232
904	2195	230
905	2197	228
906	2199	225
907	2201	223
908	2203	220
909	2205	218
910	2207	215
911	2209	213
912	2211	210
913	2213	208
914	2215	205
915	2217	203
916	2219	200
917	2221	198
918	2223	195
919	2225	193
920	2227	191
921	2229	188
922	2231	186
923	2233	183
924	2235	181
925	2237	178
926	2239	176
927	2241	173
928	2243	171
929	2245	169
930	2247	166
931	2249	164
932	2251	161
933	2253	159
934	2255	156
935	2257	154
936	2258	151
937	2261	149
938	2264	147
939	2267	144
940	2269	142
941	2271	139
942	2273	137
943	2275	134
944	2277	132
945	2279	130
946	2281	127
947	2282	125
948	2284	122
949	2286	120
950	2288	117
951	2291	115
952	2293	113
953	2294	110
954	2296	108
955	2298	105
956	2300	103
957	2302	100
958	2304	98
959	2306	96
960	2308	93
961	2310	91
962	2312	88
963	2314	86
964	2316	84
965	2318	81
966	2320	79
967	2322	76
968	2324	74
969	2326	71
970	2328	69
971	2330	67
972	2331	64
973	2333	62
974	2335	59
975	2337	57
976	2339	55
977	2341	52
978	2343	50
979	2345	47
980	2347	45
981	2349	43
982	2351	40
983	2353	38
984	2355	35
985	2357	33
986	2359	31
987	2361	28
988	2363	26
989	2365	23
990	2367	21
991	2368	19
992	2371	16
993	2373	14
994	2375	11
995	2377	9
996	2379	7
997	2381	4
998	2383	2
999	2385	0
